"Category","SizeMB","AuthoredDate","Ext","Name","RelPath"
"_WORD_VIDEOS","133.7","2023-06-20",".mov","A(1,1)_L_I_Ψ-(o,1,1)_I_Φ.mov","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\A(1,1)_L_I_Ψ-(o,1,1)_I_Φ\Mirrored\A(1,1)_L_I_Ψ-(o,1,1)_I_Φ.mov"
"_WORD_VIDEOS","56.4","2023-05-29",".mp4","B_Ψ(s,1,1)_Φ_output.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\B_Ψ(s,1,1)_Φ\B_Ψ(s,1,1)_Φ_output.mp4"
"_WORD_VIDEOS","364.1","2023-05-29",".mp4","B_Ψ(s,1,1)_Φ.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\B_Ψ(s,1,1)_Φ\B_Ψ(s,1,1)_Φ.mp4"
"_WORD_VIDEOS","56.8","2023-05-29",".mp4","B_Ψ(s,1,1)_Φ.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\B_Ψ(s,1,1)_Φ\Original\B_Ψ(s,1,1)_Φ.mp4"
"_WORD_VIDEOS","146.4","2023-06-22",".mp4","C(1,0)_C(0,1)_C_Φ-(o,1,1)_mirrored.MP4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\C(1,0)_C(0,1)_C_ph-(0,1,1)\C(1,0)_C(0,1)_C_Φ-(o,1,1)_mirrored.MP4"
"_WORD_VIDEOS","61.2","2023-05-30",".mp4","C(1,0)_C(0,1)_C_Φ-(o,1,1)_output.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\C(1,0)_C(0,1)_C_ph-(0,1,1)\C(1,0)_C(0,1)_C_Φ-(o,1,1)_output.mp4"
"_WORD_VIDEOS","55.7","2023-06-22",".mp4","C(1,0)_C(0,1)_C_Φ-(o,1,1).MP4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\C(1,0)_C(0,1)_C_ph-(0,1,1)\C(1,0)_C(0,1)_C_Φ-(o,1,1).MP4"
"_WORD_VIDEOS","12","2023-06-22",".mp4","processed_temp.mp4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\C(1,0)_C(0,1)_C_ph-(0,1,1)\processed_temp.mp4"
"_WORD_VIDEOS","164.1","2023-06-02",".mp4","C(1,0)_Ψ(0,1)_θ(o,1,1)_X- - Copy (2).mp4","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\C(1,0)_Ψ(0,1)_θ(o,1,1)_X-\C(1,0)_Ψ(0,1)_θ(o,1,1)_X- - Copy (2).mp4"
"_WORD_VIDEOS","86.5","2023-06-02",".mov","C(1,0)_Ψ(0,1)_θ(o,1,1)_X-_Mirrored00000000.mov","_WORD_VIDEOS\Word Recordings Summer 2024\Posted\C(1,0)_Ψ(0,1)_θ(o,1,1)_X-\C(1,0)_Ψ(0,1)_θ(o,1,1)_X-_Mirrored00000000.mov"
